elapse,snakelen
1,4
2,5
3,7
4,9
5,10
6,3
7,9
8,7
9,11
10,6
11,8
12,9
13,5
14,7
15,9
16,3
17,9
18,14
19,6
20,17
21,3
22,7
23,12
24,3
25,5
26,5
27,9
28,9
29,10
30,7
31,5
32,11
33,6
34,4
35,7
36,13
37,8
38,8
39,12
40,3
41,6
42,7
43,9
44,11
45,8
46,9
47,11
48,5
49,8
50,8
51,10
52,3
53,11
54,5
55,7
56,19
57,5
58,13
59,4
60,15
61,11
62,3
63,6
64,10
65,4
66,7
67,7
68,14
69,5
70,10
71,5
72,5
73,17
74,6
75,8
76,8
77,7
78,4
79,3
80,6
81,8
82,5
83,8
84,7
85,8
86,5
87,10
88,9
89,12
90,3
91,4
92,7
93,9
94,7
95,3
96,5
97,14
98,4
99,6
100,5
101,10
102,8
103,6
104,23
105,5
106,7
107,9
108,9
109,7
110,6
111,5
112,9
113,3
114,10
115,10
116,6
117,7
118,4
119,7
120,13
121,3
122,10
123,9
124,8
125,13
126,11
127,13
128,6
129,14
130,9
131,9
132,3
133,4
134,4
135,13
136,9
137,11
138,4
139,9
140,3
141,8
142,12
143,13
144,7
145,9
146,7
147,5
148,10
149,14
150,3
151,17
152,9
153,7
154,11
155,10
156,5
157,10
158,5
159,7
160,7
161,3
162,14
163,10
164,14
165,5
166,6
167,8
168,8
169,11
170,16
171,9
172,11
173,11
174,11
175,5
176,8
177,4
178,13
179,7
180,6
181,4
182,7
183,9
184,10
185,14
186,5
187,5
188,12
189,17
190,7
191,20
192,5
193,10
194,11
195,10
196,8
197,15
198,4
199,4
200,5
201,9
202,10
203,13
204,9
205,7
206,9
207,8
208,9
209,5
210,5
211,7
212,5
213,3
214,11
215,4
216,7
217,10
218,11
219,13
220,9
221,9
222,9
223,9
224,13
225,4
226,20
227,20
228,10
229,14
230,12
231,19
232,15
233,6
234,7
235,10
236,12
237,13
238,7
239,6
240,7
241,14
242,7
243,10
244,3
245,9
246,15
247,8
248,10
249,15
250,25
251,11
252,14
253,10
254,8
255,4
256,9
257,20
258,20
259,9
260,12
261,14
262,10
263,5
264,8
265,8
266,14
267,19
268,9
269,20
270,13
271,5
272,9
273,6
274,12
275,9
276,4
277,9
278,6
279,16
280,9
281,6
282,11
283,13
284,12
285,8
286,15
287,15
288,8
289,5
290,8
291,21
292,14
293,22
294,9
295,6
296,15
297,18
298,9
299,15
300,18
301,6
302,15
303,19
304,21
305,11
306,20
307,13
308,13
309,11
310,10
311,23
312,21
313,6
314,7
315,28
316,11
317,17
318,13
319,9
320,18
321,22
322,17
323,11
324,10
325,13
326,13
327,13
328,12
329,12
330,15
331,17
332,20
333,13
334,20
335,4
336,14
337,24
338,15
339,26
340,13
341,8
342,13
343,3
344,14
345,7
346,8
347,18
348,15
349,11
350,13
351,15
352,16
353,20
354,19
355,15
356,15
357,14
358,23
359,16
360,7
361,15
362,15
363,12
364,18
365,9
366,15
367,16
368,24
369,17
370,18
371,6
372,8
373,11
374,23
375,7
376,14
377,8
378,25
379,4
380,5
381,17
382,8
383,12
384,5
385,11
386,13
387,15
388,12
389,8
390,26
391,4
392,17
393,8
394,27
395,4
396,14
397,17
398,21
399,15
400,3
401,13
402,6
403,15
404,21
405,14
406,7
407,28
408,24
409,8
410,20
411,29
412,24
413,8
414,12
415,8
416,8
417,11
418,22
419,25
420,14
421,23
422,29
423,11
424,18
425,18
426,9
427,35
428,28
429,21
430,15
431,14
432,10
433,13
434,21
435,14
436,21
437,21
438,6
439,26
440,26
441,22
442,25
443,15
444,8
445,19
446,24
447,10
448,7
449,22
450,13
451,14
452,8
453,23
454,20
455,23
456,8
457,13
458,30
459,15
460,12
461,23
462,30
463,12
464,19
465,3
466,22
467,25
468,33
469,15
470,25
471,16
472,23
473,14
474,22
475,19
476,10
477,19
478,24
479,20
480,12
481,16
482,15
483,9
484,21
485,7
486,22
487,26
488,16
489,16
490,21
491,15
492,32
493,17
494,17
495,20
496,33
497,8
498,21
499,16
500,10
501,23
502,18
503,23
504,19
505,12
506,18
507,13
508,27
509,28
510,20
511,21
512,8
513,27
514,12
515,8
516,24
517,22
518,15
519,28
520,23
521,22
522,4
523,24
524,22
525,28
526,22
527,14
528,4
529,8
530,24
531,4
532,18
533,25
534,22
535,19
536,4
537,25
538,20
539,24
540,16
541,23
542,25
543,13
544,30
545,31
546,4
547,19
548,21
549,33
550,16
551,18
552,31
553,23
554,14
555,39
556,17
557,17
558,26
559,27
560,13
561,28
562,27
563,28
564,13
565,21
566,23
567,25
568,20
569,24
570,28
571,30
572,21
573,30
574,30
575,33
576,8
577,26
578,25
579,26
580,34
581,28
582,8
583,17
584,19
585,14
586,32
587,4
588,5
589,24
590,22
591,5
592,14
593,3
594,29
595,21
596,23
597,33
598,11
599,12
600,28
601,23
602,37
603,16
604,29
605,18
606,20
607,20
608,27
609,24
610,25
611,34
612,17
613,20
614,25
615,21
616,32
617,22
618,30
619,28
620,19
621,30
622,26
623,35
624,26
625,36
626,26
627,22
628,32
629,29
630,13
631,26
632,5
633,38
634,28
635,28
636,28
637,22
638,25
639,23
640,32
641,32
642,26
643,28
644,27
645,3
646,27
647,24
648,22
649,38
650,20
651,7
652,31
653,31
654,19
655,25
656,29
657,20
658,6
659,10
660,23
661,28
662,30
663,17
664,30
665,35
666,29
667,35
668,31
669,30
670,12
671,25
672,26
673,22
674,33
675,31
676,23
677,21
678,24
679,33
680,20
681,31
682,23
683,21
684,21
685,27
686,21
687,29
688,40
689,9
690,23
691,32
692,36
693,36
694,34
695,39
696,32
697,25
698,21
699,15
700,18
701,27
702,30
703,27
704,37
705,40
706,7
707,44
708,32
709,29
710,21
711,20
712,23
713,30
714,22
715,33
716,8
717,24
718,4
719,39
720,29
721,38
722,28
723,26
724,31
725,22
726,35
727,34
728,27
729,33
730,33
731,18
732,19
733,30
734,21
735,25
736,15
737,36
738,32
739,39
740,24
741,7
742,23
743,29
744,34
745,29
746,31
747,10
748,34
749,35
750,3
751,36
752,27
753,46
754,26
755,34
756,27
757,20
758,26
759,26
760,37
761,24
762,18
763,41
764,45
765,34
766,17
767,41
768,38
769,22
770,26
771,8
772,33
773,21
774,20
775,42
776,31
777,23
778,39
779,39
780,39
