elapse,snakelen
1,4
2,8
3,11
4,7
5,9
6,5
7,13
8,8
9,4
10,6
11,11
12,9
13,15
14,6
15,11
16,5
17,12
18,7
19,7
20,9
21,11
22,11
23,20
24,10
25,5
26,9
27,13
28,3
29,11
30,7
31,9
32,7
33,3
34,14
35,10
36,8
37,11
38,5
39,8
40,8
41,7
42,12
43,3
44,8
45,14
46,7
47,5
48,6
49,9
50,5
51,11
52,7
53,11
54,9
55,6
56,10
57,8
58,9
59,7
60,6
61,9
62,3
63,8
64,7
65,11
66,8
67,5
68,8
69,4
70,4
71,13
72,5
73,9
74,7
75,7
76,10
77,6
78,5
79,7
80,4
81,3
82,6
83,7
84,11
85,12
86,10
87,3
88,8
89,8
90,9
91,5
92,7
93,4
94,9
95,3
96,8
97,4
98,10
99,8
100,3
101,9
102,4
103,12
104,7
105,7
106,8
107,7
108,10
109,7
110,8
111,15
112,6
113,5
114,3
115,11
116,7
117,10
118,7
119,11
120,17
121,10
122,5
123,14
124,8
125,5
126,6
127,11
128,8
129,3
130,14
131,11
132,17
133,8
134,8
135,3
136,4
137,7
138,3
139,7
140,9
141,4
142,10
143,12
144,5
145,12
146,10
147,7
148,12
149,4
150,5
151,9
152,12
153,15
154,6
155,6
156,5
157,14
158,4
159,3
160,9
161,6
162,9
163,8
164,8
165,10
166,11
167,10
168,7
169,8
170,3
171,7
172,5
173,7
174,9
175,8
176,15
177,9
178,7
179,15
180,5
181,5
182,11
183,6
184,9
185,12
186,12
187,11
188,13
189,4
190,5
191,5
192,8
193,5
194,16
195,8
196,13
197,6
198,4
199,5
200,16
201,12
202,9
203,9
204,11
205,7
206,6
207,10
208,8
209,10
210,8
211,5
212,8
213,9
214,3
215,6
216,6
217,6
218,8
219,4
220,10
221,11
222,9
223,5
224,6
225,8
226,6
227,7
228,7
229,10
230,8
231,11
232,7
233,3
234,7
235,9
236,7
237,9
238,7
239,7
240,11
241,11
242,5
243,11
244,5
245,8
246,9
247,10
248,8
249,6
250,9
251,9
252,10
253,3
254,9
255,4
256,14
257,13
258,10
259,7
260,8
261,7
262,5
263,6
264,10
265,10
266,6
267,8
268,6
269,12
270,9
271,5
272,10
273,9
274,5
275,5
276,6
277,5
278,9
279,3
280,15
281,11
282,8
283,13
284,4
285,4
286,10
287,6
288,5
289,11
290,11
291,11
292,5
293,15
294,5
295,11
296,7
297,7
298,5
299,5
300,6
301,7
302,5
303,9
304,9
305,5
306,9
307,10
308,10
309,7
310,9
311,8
312,7
313,7
314,14
315,3
316,8
317,5
318,7
319,9
320,11
321,8
322,10
323,7
324,4
325,13
326,5
327,6
328,8
329,6
330,5
331,11
332,15
333,21
334,13
335,3
336,12
337,7
338,19
339,4
340,7
341,9
342,7
343,3
344,11
345,11
346,7
347,9
348,5
349,5
350,16
351,5
352,11
353,6
354,10
355,8
356,6
357,10
358,17
359,6
360,11
361,6
362,15
363,13
364,13
365,13
366,8
367,6
368,11
369,15
370,9
371,11
372,7
373,4
374,8
375,5
376,6
377,5
378,6
379,20
380,17
381,9
382,14
383,10
384,12
385,11
386,6
387,5
388,7
389,8
390,18
391,7
392,11
393,7
394,9
395,22
396,5
397,10
398,7
399,6
400,8
401,7
402,6
403,5
404,8
405,16
406,9
407,4
408,8
409,5
410,14
411,8
412,3
413,9
414,4
415,6
416,6
417,4
418,6
419,10
420,8
421,8
422,8
423,6
424,6
425,9
426,7
427,12
428,12
429,6
430,3
431,3
432,10
433,8
434,4
435,9
436,8
437,8
438,5
439,9
440,6
441,4
442,7
443,6
444,8
445,13
446,10
447,4
448,10
449,9
450,7
451,3
452,5
453,17
454,11
455,3
456,7
457,10
458,9
459,7
460,6
461,3
462,11
463,12
464,8
465,7
466,7
467,11
468,4
469,8
470,6
471,9
472,9
473,7
474,7
475,14
476,9
477,12
478,5
479,14
480,8
481,13
482,11
483,11
484,8
485,5
486,6
487,7
488,8
489,12
490,4
491,8
492,7
493,3
494,6
495,7
496,7
497,7
498,5
499,13
500,11
501,17
502,6
503,17
504,9
505,10
506,8
507,13
508,6
509,3
510,13
511,6
512,7
513,8
514,9
515,14
516,7
517,9
518,7
519,4
520,7
521,8
522,5
523,5
524,7
525,13
526,14
527,7
528,13
529,9
530,8
531,14
532,3
533,10
534,3
535,9
536,9
537,6
538,14
539,7
540,15
541,10
542,14
543,9
544,10
545,13
546,9
547,12
548,7
549,6
550,8
551,13
552,5
553,17
554,4
555,6
556,8
557,12
558,8
559,7
560,11
561,7
562,4
563,9
564,11
565,3
566,11
567,10
568,5
569,4
570,9
571,12
572,12
573,7
574,13
575,17
576,14
577,7
578,7
579,13
580,11
581,16
582,13
583,10
584,3
585,9
586,14
587,13
588,7
589,12
590,13
591,15
592,8
593,16
594,17
595,6
596,7
597,19
598,5
599,8
600,11
601,18
602,11
603,13
604,7
605,13
606,9
607,14
608,14
609,4
610,4
611,16
612,11
613,8
614,15
615,14
616,15
617,9
618,17
619,7
620,12
621,8
622,18
623,24
624,21
625,12
626,8
627,9
628,17
629,10
630,9
631,10
632,7
633,17
634,12
635,11
636,6
637,12
638,10
639,10
640,11
641,3
642,12
643,10
644,8
645,14
646,17
647,9
648,15
649,15
650,7
651,9
652,11
653,7
654,15
655,8
656,11
657,8
658,15
659,12
660,11
661,11
662,12
663,9
664,14
665,8
666,11
667,16
668,8
669,8
670,14
671,6
672,16
673,16
674,29
675,5
676,10
677,21
678,9
679,16
680,14
681,14
682,10
683,17
684,13
685,14
686,17
687,20
688,9
689,18
690,8
691,10
692,11
693,15
694,13
695,18
696,16
697,15
698,7
699,5
700,17
701,15
702,16
703,12
704,17
705,14
706,11
707,19
708,20
709,11
710,17
711,11
712,18
713,17
714,13
715,18
716,21
717,17
718,6
719,14
720,8
721,12
722,20
723,19
724,9
725,8
726,5
727,18
728,24
729,16
730,18
731,23
732,11
733,10
734,9
735,9
736,15
737,15
738,14
739,26
740,24
741,23
742,19
743,17
744,16
745,16
746,17
747,11
748,19
749,10
750,24
751,11
752,17
753,14
754,16
755,18
756,7
757,12
758,20
759,7
