elapse,snakelen
1,4
2,8
3,9
4,5
5,8
6,18
7,10
8,8
9,9
10,8
11,6
12,8
13,13
14,17
15,6
16,7
17,9
18,18
19,9
20,8
21,10
22,5
23,8
24,7
25,3
26,8
27,8
28,6
29,3
30,6
31,3
32,8
33,9
34,14
35,6
36,7
37,6
38,6
39,14
40,5
41,5
42,5
43,11
44,9
45,10
46,16
47,5
48,9
49,10
50,11
51,3
52,7
53,7
54,7
55,7
56,5
57,9
58,5
59,9
60,10
61,5
62,9
63,7
64,11
65,14
66,3
67,9
68,15
69,10
70,3
71,6
72,4
73,8
74,7
75,7
76,5
77,12
78,4
79,6
80,17
81,8
82,3
83,7
84,10
85,9
86,10
87,8
88,5
89,8
90,17
91,7
92,6
93,12
94,5
95,3
96,5
97,10
98,9
99,4
100,10
101,5
102,4
103,12
104,6
105,4
106,5
107,9
108,5
109,5
110,6
111,6
112,8
113,8
114,6
115,5
116,13
117,5
118,15
119,10
120,7
121,9
122,4
123,6
124,4
125,8
126,10
127,8
128,9
129,3
130,10
131,5
132,8
133,5
134,7
135,4
136,5
137,6
138,11
139,11
140,10
141,9
142,6
143,14
144,6
145,8
146,9
147,11
148,9
149,12
150,5
151,7
152,8
153,7
154,5
155,6
156,4
157,6
158,9
159,4
160,7
161,7
162,9
163,7
164,11
165,11
166,4
167,10
168,7
169,10
170,4
171,7
172,3
173,10
174,7
175,11
176,4
177,7
178,10
179,12
180,7
181,3
182,13
183,8
184,4
185,7
186,7
187,5
188,10
189,15
190,16
191,13
192,10
193,12
194,9
195,10
196,9
197,9
198,5
199,8
200,12
201,11
202,10
203,5
204,9
205,10
206,9
207,12
208,15
209,15
210,9
211,11
212,12
213,10
214,6
215,6
216,16
217,9
218,4
219,9
220,8
221,8
222,7
223,9
224,9
225,11
226,4
227,11
228,4
229,8
230,12
231,7
232,7
233,12
234,8
235,6
236,4
237,4
238,17
239,8
240,10
241,3
242,5
243,3
244,3
245,12
246,6
247,4
248,3
249,8
250,8
251,20
252,8
253,7
254,6
255,6
256,4
257,10
258,3
259,5
260,3
261,4
262,6
263,4
264,7
265,5
266,7
267,6
268,8
269,8
270,7
271,6
272,3
273,7
274,11
275,6
276,8
277,6
278,8
279,5
280,9
281,6
282,9
283,7
284,5
285,6
286,8
287,9
288,12
289,6
290,15
291,3
292,5
293,10
294,5
295,6
296,8
297,5
298,7
299,12
300,5
301,6
302,11
303,10
304,10
305,9
306,5
307,5
308,11
309,5
310,9
311,10
312,11
313,7
314,9
315,6
316,14
317,17
318,4
319,10
320,7
321,8
322,3
323,9
324,13
325,10
326,6
327,10
328,4
329,8
330,10
331,6
332,7
333,12
334,7
335,11
336,14
337,11
338,5
339,9
340,9
341,9
342,12
343,22
344,7
345,9
346,6
347,7
348,7
349,13
350,9
351,7
352,14
353,4
354,10
355,9
356,10
357,10
358,18
359,12
360,9
361,8
362,3
363,4
364,5
365,10
366,4
367,3
368,7
369,10
370,7
371,12
372,8
373,8
374,6
375,8
376,4
377,6
378,7
379,6
380,7
381,12
382,7
383,9
384,5
385,8
386,10
387,4
388,8
389,3
390,8
391,6
392,14
393,3
394,3
395,23
396,13
397,8
398,15
399,9
400,7
401,8
402,13
403,7
404,6
405,12
406,7
407,14
408,15
409,10
410,11
411,5
412,12
413,11
414,11
415,4
416,10
417,16
418,12
419,8
420,7
421,6
422,8
423,3
424,3
425,7
426,8
427,16
428,3
429,7
430,5
431,7
432,6
433,10
434,7
435,8
436,11
437,7
438,8
439,8
440,5
441,6
442,17
443,23
444,17
445,14
446,15
447,4
448,11
449,9
450,7
451,9
452,15
453,8
454,3
455,10
456,3
457,9
458,13
459,6
460,9
461,9
462,12
463,8
464,11
465,10
466,9
467,6
468,4
469,10
470,11
471,11
472,6
473,5
474,4
475,11
476,10
477,8
478,11
479,18
480,11
481,12
482,16
483,9
484,5
485,3
486,4
487,6
488,15
489,19
490,9
491,10
492,14
493,11
494,7
495,10
496,6
497,17
498,17
499,5
500,7
501,10
502,8
503,10
504,15
505,13
506,4
507,12
508,9
509,6
510,13
511,10
512,11
513,16
514,7
515,5
516,11
517,3
518,5
519,6
520,6
521,12
522,4
523,12
524,16
525,18
526,13
527,7
528,10
529,10
530,7
531,16
532,7
533,11
534,11
535,17
536,9
537,7
538,6
539,17
540,10
541,25
542,10
543,13
544,7
545,13
546,15
547,5
548,21
549,8
550,14
551,7
552,9
553,9
554,20
555,7
556,12
557,9
558,16
559,14
560,8
561,3
562,15
563,15
564,15
565,16
566,16
567,5
568,12
569,12
570,7
571,7
572,10
573,9
574,3
575,11
576,9
577,16
578,13
579,11
580,9
581,20
582,13
583,18
584,14
585,21
586,10
587,13
588,4
589,14
590,18
591,5
592,14
593,18
594,8
595,15
596,9
597,15
598,16
599,9
600,8
601,13
602,6
603,17
604,9
605,9
606,16
607,15
608,15
609,12
610,15
611,9
612,10
613,8
614,13
615,21
616,9
617,5
618,7
619,12
620,11
621,15
622,13
623,20
624,13
625,16
626,17
627,15
628,21
629,17
630,22
631,14
632,9
633,13
634,9
635,9
636,14
637,8
638,10
639,14
640,8
641,16
642,5
643,6
644,8
645,6
646,24
647,18
648,12
649,8
650,23
651,7
652,16
653,8
654,8
655,12
656,16
657,21
658,8
659,19
660,14
661,14
662,11
663,7
664,9
665,9
666,9
667,15
668,14
669,9
670,19
671,15
672,15
673,11
674,13
675,6
676,10
677,20
678,16
679,15
680,19
681,19
682,8
683,9
684,19
685,12
686,18
687,11
688,17
689,16
690,15
691,13
692,21
693,16
694,16
695,10
696,21
697,15
698,13
699,11
700,8
701,13
702,17
703,8
704,29
705,23
706,12
707,15
708,16
709,8
710,17
711,19
712,14
713,20
714,15
715,14
716,16
717,16
718,11
719,13
720,20
721,14
722,20
723,15
724,9
725,10
726,15
727,18
728,22
729,19
730,15
731,13
732,10
733,14
734,17
735,16
736,18
737,29
738,9
739,17
740,12
741,15
742,17
743,18
744,13
745,18
746,10
747,17
748,19
749,13
750,16
751,3
752,25
753,13
754,8
755,19
756,16
757,7
758,18
759,11
