elapse,snakelen
1,4
2,6
3,5
4,6
5,8
6,7
7,3
8,3
9,5
10,12
11,18
12,10
13,9
14,9
15,8
16,8
17,5
18,6
19,5
20,8
21,6
22,6
23,9
24,5
25,9
26,5
27,3
28,13
29,5
30,4
31,10
32,5
33,6
34,9
35,6
36,4
37,4
38,5
39,9
40,13
41,11
42,13
43,7
44,14
45,9
46,5
47,10
48,7
49,10
50,7
51,7
52,15
53,5
54,4
55,15
56,3
57,10
58,5
59,12
60,11
61,15
62,3
63,19
64,12
65,15
66,4
67,7
68,5
69,9
70,6
71,7
72,6
73,6
74,10
75,7
76,8
77,21
78,9
79,7
80,7
81,13
82,17
83,8
84,16
85,12
86,5
87,14
88,13
89,13
90,7
91,5
92,6
93,4
94,6
95,8
96,9
97,20
98,12
99,7
100,13
101,7
102,5
103,3
104,7
105,21
106,4
107,15
108,8
109,10
110,9
111,6
112,12
113,8
114,13
115,3
116,13
117,4
118,10
119,5
120,11
121,6
122,11
123,10
124,8
125,5
126,9
127,8
128,8
129,8
130,4
131,11
132,6
133,10
134,3
135,6
136,8
137,4
138,16
139,7
140,9
141,6
142,4
143,4
144,10
145,7
146,4
147,8
148,3
149,4
150,3
151,8
152,3
153,6
154,14
155,11
156,7
157,5
158,3
159,7
160,4
161,4
162,15
163,5
164,9
165,5
166,8
167,8
168,7
169,9
170,4
171,7
172,4
173,7
174,16
175,5
176,5
177,3
178,3
179,6
180,12
181,17
182,8
183,10
184,13
185,9
186,5
187,13
188,4
189,11
190,13
191,10
192,7
193,14
194,10
195,12
196,5
197,8
198,7
199,3
200,5
201,3
202,6
203,3
204,11
205,19
206,18
207,7
208,4
209,10
210,8
211,5
212,9
213,7
214,12
215,8
216,10
217,7
218,8
219,7
220,5
221,6
222,14
223,3
224,4
225,8
226,6
227,3
228,8
229,9
230,5
231,5
232,4
233,7
234,4
235,11
236,16
237,9
238,6
239,11
240,7
241,3
242,3
243,11
244,7
245,9
246,6
247,6
248,7
249,12
250,5
