zelapse,snakelen
1,4
2,5
3,8
4,9
5,15
6,5
7,11
8,14
9,5
10,12
11,6
12,7
13,9
14,9
15,6
16,9
17,10
18,14
19,8
20,12
21,3
22,12
23,7
24,5
25,10
26,8
27,5
28,8
29,6
30,9
31,5
32,4
33,6
34,11
35,7
36,14
37,8
38,5
39,4
40,14
41,8
42,5
43,12
44,5
45,16
46,17
47,13
48,14
49,7
50,8
51,7
52,12
53,10
54,6
55,6
56,8
57,6
58,4
59,9
60,11
61,11
62,5
63,4
64,6
65,8
66,5
67,12
68,5
69,3
70,15
71,9
72,9
73,14
74,19
75,8
76,7
77,8
78,5
79,6
80,5
81,3
82,10
83,8
84,8
85,9
86,4
87,11
88,11
89,11
90,7
91,6
92,13
93,4
94,11
95,5
96,6
97,8
98,15
99,8
100,8
101,10
102,6
103,6
104,7
105,7
106,5
107,10
108,5
109,11
110,7
111,10
112,8
113,11
114,10
115,7
116,7
117,6
118,10
119,9
120,7
121,13
122,9
123,8
124,11
125,6
126,10
127,8
128,3
129,6
130,7
131,8
132,8
133,13
134,10
135,6
136,8
137,10
138,6
139,10
140,7
141,5
142,6
143,4
144,5
145,10
146,6
147,10
148,3
149,4
150,7
151,12
152,9
153,10
154,6
155,9
156,3
157,9
158,14
159,4
160,3
161,8
162,9
163,9
164,11
165,6
166,9
167,6
168,7
169,11
170,9
171,11
172,8
173,8
174,12
175,7
176,6
177,14
178,8
179,8
180,15
181,10
182,10
183,6
184,7
185,8
186,8
187,12
188,16
189,4
190,5
191,9
192,4
193,8
194,6
195,7
196,7
197,8
198,7
199,11
200,7
201,4
202,3
203,14
204,6
205,8
206,10
207,7
208,9
209,7
210,11
211,9
212,19
213,10
214,9
215,8
216,5
217,10
218,15
219,5
220,8
221,9
222,9
223,10
224,14
225,10
226,4
227,9
228,7
229,5
230,13
231,4
232,19
233,10
234,4
235,12
236,6
237,7
238,8
239,5
240,6
241,17
242,7
243,7
244,8
245,9
246,5
247,8
248,13
249,6
250,8
251,10
252,7
253,7
254,6
255,6
256,3
257,5
258,7
259,4
260,5
261,7
262,12
263,7
264,4
265,8
266,5
267,15
268,9
269,10
270,9
271,7
272,15
273,8
274,14
275,10
276,5
277,12
278,4
279,6
280,5
281,6
282,8
283,13
284,9
285,3
286,10
287,10
288,13
289,7
290,15
291,7
292,5
293,6
294,9
295,10
296,3
297,11
298,13
299,13
300,10
301,14
302,8
303,12
304,6
305,11
306,10
307,10
308,4
309,4
310,8
311,4
312,3
313,9
314,12
315,10
316,5
317,11
318,8
319,3
320,5
321,5
322,13
323,8
324,10
325,10
326,12
327,5
328,9
329,9
330,7
331,6
332,5
333,6
334,9
335,7
336,9
337,11
338,6
339,5
340,3
341,10
342,6
343,10
344,11
345,7
346,13
347,6
348,7
349,10
350,3
351,7
352,3
353,3
354,9
355,7
356,8
357,6
358,6
359,7
360,4
361,6
362,8
363,8
364,10
365,8
366,9
367,3
368,5
369,8
370,7
371,12
372,9
373,5
374,8
375,10
376,9
377,13
378,10
379,5
380,5
381,14
382,7
383,7
384,8
385,5
386,16
387,13
388,7
389,4
390,11
391,11
392,9
393,8
394,4
395,5
396,12
397,4
398,6
399,6
400,4
401,8
402,9
403,11
404,7
405,6
406,10
407,10
408,11
409,3
410,10
411,14
412,8
413,7
414,14
415,8
416,5
417,4
418,9
419,8
420,6
421,11
422,11
423,8
424,6
425,8
426,5
427,5
428,6
429,12
430,6
431,5
432,7
433,7
434,3
435,11
436,8
437,9
438,7
439,4
440,8
441,5
442,7
443,8
444,4
445,5
446,13
447,10
448,5
449,5
450,10
451,13
452,4
453,7
454,5
455,9
456,5
457,3
458,7
459,7
460,8
461,10
462,17
463,8
464,11
465,8
466,11
467,6
468,8
469,10
470,8
471,8
472,13
473,5
474,9
475,12
476,6
477,6
478,8
479,4
480,3
481,11
482,7
483,4
484,7
485,7
486,9
487,5
488,11
489,6
490,8
491,5
492,5
493,14
494,4
495,8
496,5
497,12
498,6
499,7
500,8
501,6
502,3
503,4
504,7
505,7
506,6
507,11
508,9
509,12
510,7
511,8
512,7
513,8
514,4
515,14
516,8
517,4
518,14
519,17
520,9
521,6
522,4
523,7
524,11
525,6
526,14
527,15
528,6
529,11
530,4
531,5
532,6
533,17
534,7
535,8
536,9
537,10
538,4
539,9
540,6
541,12
542,8
543,14
544,15
545,5
546,5
547,8
548,12
549,7
550,14
551,8
552,5
553,10
554,6
555,5
556,6
557,3
558,7
559,12
560,7
561,13
562,10
563,10
564,13
565,4
566,10
567,8
568,7
569,5
570,8
571,11
572,17
573,3
574,6
575,18
576,8
577,4
578,5
579,7
580,11
581,5
582,6
583,5
584,8
585,5
586,8
587,14
588,8
589,4
590,7
591,9
592,3
593,5
594,3
595,12
596,12
597,9
598,6
599,7
600,6
601,4
602,7
603,9
604,8
605,8
606,7
607,8
608,5
609,15
610,18
611,5
612,6
613,9
614,12
615,10
616,15
617,5
618,10
619,8
620,6
621,10
622,8
623,7
624,5
625,11
626,8
627,7
628,5
629,3
630,11
631,4
632,7
633,9
634,3
635,7
636,13
637,12
638,10
639,9
640,6
641,9
642,14
643,7
644,13
645,11
646,10
647,10
648,14
649,9
650,9
651,4
652,9
653,8
654,6
655,10
656,8
657,9
658,12
659,9
660,8
661,3
662,8
663,13
664,7
665,6
666,16
667,4
668,6
669,6
670,4
671,7
672,11
673,11
674,8
675,3
676,11
677,12
678,7
679,6
680,6
681,17
682,3
683,6
684,12
685,5
686,11
687,17
688,7
689,9
690,7
691,11
692,6
693,7
694,11
695,17
696,14
697,9
698,4
699,7
700,6
701,5
702,10
703,5
704,5
705,11
706,9
707,7
708,8
709,6
710,16
711,5
712,3
713,8
714,5
715,6
716,11
717,10
718,4
719,10
720,7
721,8
722,8
723,3
724,21
725,7
726,10
727,12
728,9
729,7
730,9
731,15
732,15
733,11
734,9
735,9
736,13
737,9
738,13
739,10
740,7
741,4
742,9
743,6
744,9
745,12
746,8
747,5
748,7
749,7
750,5
751,8
752,9
753,12
754,7
755,6
756,8
757,12
758,9
759,18
760,9
761,7
762,10
763,5
764,8
765,13
766,15
767,13
768,5
769,3
770,13
771,6
772,6
773,6
774,7
775,7
776,5
777,16
778,9
779,5
780,13
