elapse,snakelen
1,4
2,13
3,3
4,5
5,13
6,3
7,11
8,3
9,8
10,7
11,11
12,9
13,3
14,7
15,13
16,13
17,6
18,13
19,7
20,7
21,5
22,12
23,5
24,4
25,9
26,10
27,12
28,8
29,8
30,7
31,4
32,13
33,8
34,12
35,3
36,11
37,11
38,10
39,7
40,11
41,13
42,8
43,4
44,8
45,9
46,10
47,5
48,7
49,4
50,9
51,5
52,7
53,8
54,3
55,11
56,12
57,4
58,5
59,9
60,9
61,5
62,5
63,9
64,3
65,7
66,5
67,9
68,10
69,11
70,15
71,7
72,3
73,10
74,5
75,11
76,11
77,18
78,4
79,14
80,9
81,14
82,9
83,3
84,8
85,14
86,3
87,7
88,6
89,6
90,5
91,6
92,6
93,9
94,5
95,12
96,5
97,6
98,8
99,6
100,7
101,6
102,12
103,8
104,13
105,3
106,6
107,12
108,9
109,6
110,6
111,11
112,7
113,7
114,13
115,6
116,9
117,4
118,7
119,7
120,8
121,7
122,11
123,9
124,3
125,11
126,8
127,9
128,6
129,3
130,4
131,12
132,11
133,9
134,12
135,10
136,10
137,8
138,11
139,6
140,9
141,4
142,7
143,5
144,5
145,10
146,7
147,9
148,6
149,5
150,9
151,4
152,6
153,8
154,6
155,5
156,10
157,13
158,8
159,4
160,10
161,5
162,9
163,11
164,11
165,3
166,11
167,7
168,7
169,9
170,10
171,14
172,3
173,6
174,11
175,3
176,4
177,7
178,10
179,4
180,5
181,4
182,3
183,7
184,18
185,12
186,14
187,5
188,9
189,11
190,11
191,6
192,6
193,10
194,11
195,5
196,6
197,10
198,4
199,12
200,7
201,5
202,8
203,10
204,13
205,5
206,7
207,10
208,5
209,5
210,11
211,5
212,7
213,13
214,9
215,10
216,6
217,7
218,4
219,7
220,7
221,5
222,10
223,7
224,11
225,8
226,9
227,4
228,7
229,12
230,8
231,12
232,10
233,4
234,3
235,4
236,6
237,7
238,3
239,9
240,10
241,10
242,3
243,5
244,11
245,15
246,6
247,7
248,4
249,9
250,6
251,9
252,14
253,11
254,7
255,9
256,7
257,9
258,9
259,14
260,5
261,3
262,6
263,7
264,6
265,7
266,8
267,9
268,9
269,9
270,10
271,5
272,12
273,8
274,11
275,7
276,4
277,10
278,7
279,11
280,7
281,11
282,19
283,8
284,10
285,11
286,11
287,10
288,9
289,12
290,12
291,5
292,8
293,5
294,10
295,19
296,7
297,6
298,10
299,11
300,8
301,9
302,4
303,5
304,16
305,3
306,7
307,6
308,7
309,9
310,5
311,4
312,14
313,9
314,6
315,9
316,10
317,12
318,5
319,5
320,9
321,5
322,3
323,11
324,11
325,7
326,4
327,8
328,7
329,6
330,20
331,9
332,10
333,19
334,7
335,14
336,4
337,8
338,4
339,7
340,18
341,14
342,12
343,7
344,6
345,11
346,11
347,4
348,7
349,13
350,3
351,18
352,14
353,8
354,7
355,11
356,9
357,3
358,10
359,10
360,3
361,3
362,12
363,14
364,5
365,13
366,11
367,9
368,12
369,6
370,5
371,11
372,11
373,3
374,9
375,8
376,10
377,10
378,7
379,4
380,9
381,15
382,5
383,15
384,12
385,12
386,6
387,13
388,7
389,8
390,8
391,10
392,14
393,11
394,10
395,7
396,9
397,4
398,4
399,3
400,9
401,17
402,4
403,16
404,9
405,12
406,11
407,8
408,7
409,7
410,6
411,9
412,8
413,4
414,5
415,4
416,5
417,8
418,11
419,10
420,11
421,13
422,5
423,9
424,7
425,12
426,9
427,4
428,9
429,13
430,3
431,8
432,6
433,15
434,6
435,8
436,9
437,5
438,8
439,11
440,10
441,6
442,10
443,13
444,4
445,6
446,10
447,5
448,7
449,9
450,11
451,5
452,5
453,9
454,7
455,20
456,13
457,3
458,3
459,7
460,10
461,9
462,4
463,10
464,8
465,3
466,13
467,12
468,9
469,15
470,6
471,9
472,5
473,13
474,9
475,14
476,14
477,6
478,15
479,15
480,7
481,7
482,16
483,6
484,17
485,6
486,10
487,5
488,7
489,10
490,8
491,10
492,4
493,9
494,11
495,17
496,15
497,15
498,8
499,6
500,12
501,9
502,13
503,12
504,9
505,7
506,8
507,5
508,20
509,8
510,8
511,13
512,11
513,12
514,4
515,7
516,5
517,10
518,11
519,13
520,10
521,19
522,7
523,12
524,12
525,8
526,9
527,21
528,4
529,15
530,8
531,12
532,17
533,4
534,16
535,14
536,11
537,15
538,18
539,14
540,10
541,15
542,6
543,12
544,12
545,10
