elapse,snakelen
1,4
2,13
3,6
4,8
5,8
6,13
7,4
8,3
9,9
10,8
11,10
12,9
13,9
14,3
15,9
16,8
17,6
18,9
19,6
20,13
21,3
22,15
23,10
24,15
25,12
26,7
27,3
28,5
29,9
30,21
31,7
32,5
33,9
34,5
35,13
36,7
37,9
38,15
39,9
40,11
41,3
42,8
43,8
44,4
45,15
46,8
47,8
48,5
49,6
50,7
51,3
52,3
53,14
54,13
55,7
56,5
57,12
58,6
59,6
60,15
61,12
62,11
63,3
64,16
65,6
66,3
67,5
68,6
69,6
70,7
71,11
72,12
73,8
74,9
75,4
76,9
77,6
78,6
79,5
80,10
81,5
82,8
83,8
84,6
85,4
86,10
87,7
88,4
89,11
90,3
91,9
92,5
93,11
94,7
95,5
96,8
97,8
98,3
99,8
100,11
101,10
102,3
103,3
104,5
105,11
106,5
107,7
108,12
109,3
110,9
111,10
112,9
113,3
114,7
115,19
116,4
117,12
118,3
119,7
120,10
121,3
122,15
123,3
124,13
125,11
126,8
127,7
128,7
129,6
130,9
131,7
132,6
133,7
134,11
135,7
136,11
137,11
138,10
139,7
140,7
141,7
142,7
143,7
144,14
145,6
146,3
147,10
148,6
149,9
150,10
151,10
152,3
153,7
154,3
155,6
156,7
157,4
158,8
159,13
160,21
161,5
162,8
163,5
164,12
165,8
166,10
167,10
168,4
169,6
170,5
171,9
172,12
173,8
174,3
175,17
176,4
177,3
178,10
179,6
180,17
181,14
182,7
183,9
184,4
185,7
186,7
187,5
188,11
189,6
190,8
191,7
192,9
193,5
194,5
195,9
196,14
197,10
198,16
199,6
200,9
201,11
202,4
203,15
204,13
205,7
206,12
207,13
208,12
209,12
210,12
211,14
212,12
213,10
214,15
215,28
216,9
217,15
218,10
219,13
220,5
221,3
222,9
223,13
224,9
225,18
226,13
227,9
228,6
229,12
230,13
231,10
232,3
233,10
234,11
235,5
236,5
237,4
238,8
239,15
240,8
241,5
242,5
243,9
244,4
245,8
246,12
247,8
248,10
249,9
250,7
251,4
252,9
253,12
254,9
255,8
256,6
257,5
258,12
259,6
260,6
261,6
262,9
263,10
264,7
265,4
266,4
267,7
268,8
269,10
270,3
271,8
272,14
273,9
274,9
275,4
276,10
277,11
278,7
279,9
280,4
281,9
282,10
283,15
284,4
285,6
286,16
287,11
288,9
289,6
290,5
291,10
292,19
293,16
294,7
295,11
296,7
297,4
298,10
299,16
300,11
301,20
302,8
303,6
304,4
305,3
306,4
307,9
308,6
309,8
310,14
311,10
312,12
313,10
314,8
315,4
316,8
317,18
318,9
319,7
320,8
321,9
322,6
323,11
324,21
325,5
326,9
327,12
328,13
329,9
330,16
331,3
332,19
333,7
334,10
335,8
336,8
337,7
338,9
339,8
340,12
341,13
342,11
343,13
344,11
345,16
346,9
347,14
348,12
349,10
350,5
351,7
352,8
353,14
354,17
355,11
356,12
357,4
358,7
359,15
360,24
361,4
362,10
363,15
364,8
365,11
366,14
367,17
368,11
369,11
370,14
371,11
372,15
373,9
374,5
375,9
376,7
377,6
378,5
379,12
380,12
381,22
382,9
383,8
384,13
385,11
386,10
387,11
388,13
389,11
390,13
391,9
392,3
393,6
394,14
395,15
396,12
397,7
398,8
399,7
400,13
401,9
402,3
403,15
404,18
405,4
406,14
407,15
408,13
409,13
410,8
411,14
412,5
413,19
414,6
415,4
416,7
417,5
418,10
419,11
420,8
421,8
422,12
423,15
424,12
425,12
426,8
427,4
428,7
429,7
430,5
431,14
432,3
433,19
434,8
435,7
436,7
437,9
438,8
439,26
440,7
441,11
442,12
443,17
444,11
445,12
446,21
447,15
448,21
449,12
450,3
451,10
452,12
453,12
454,11
455,7
456,15
457,14
458,22
459,12
460,16
461,10
462,8
463,12
464,6
465,13
466,16
467,16
468,3
469,14
470,21
471,5
472,19
473,4
474,16
475,18
476,13
477,20
478,10
479,8
480,8
481,11
482,12
483,17
484,9
485,18
486,6
487,8
488,7
489,12
490,12
491,12
492,17
493,14
494,11
495,20
496,25
497,7
498,7
499,20
500,4
501,9
502,3
503,3
504,3
505,12
506,17
507,19
508,17
509,12
510,13
511,11
512,5
513,4
514,7
515,12
516,16
517,15
518,3
519,22
520,10
521,10
522,17
523,15
524,19
525,23
526,3
527,14
528,12
529,15
530,17
531,11
532,12
533,8
534,29
535,5
536,17
537,17
538,15
539,8
540,12
541,24
542,13
543,12
544,24
545,19
