elapse,snakelen
1,4
2,6
3,3
4,7
5,15
6,6
7,6
8,6
9,4
10,10
11,8
12,3
13,13
14,6
15,7
16,6
17,9
18,4
19,3
20,13
21,13
22,7
23,7
24,9
25,19
26,15
27,7
28,5
29,9
30,3
31,17
32,8
33,10
34,4
35,10
36,9
37,4
38,4
39,6
40,6
41,8
42,7
43,13
44,6
45,5
46,7
47,6
48,6
49,4
50,8
51,6
52,9
53,7
54,7
55,10
56,6
57,3
58,5
59,7
60,9
61,9
62,11
63,19
64,9
65,3
66,7
67,7
68,11
69,10
70,20
71,7
72,9
73,6
74,8
75,4
76,9
77,9
78,6
79,7
80,7
81,9
82,7
83,11
84,9
85,7
86,6
87,3
88,10
89,6
90,3
91,3
92,5
93,10
94,7
95,6
96,8
97,8
98,10
99,7
100,5
101,4
102,7
103,7
104,8
105,9
106,6
107,7
108,7
109,13
110,13
111,11
112,10
113,9
114,4
115,7
116,5
117,10
118,9
119,3
120,6
121,10
122,7
123,5
124,12
125,5
126,5
127,15
128,3
129,7
130,16
131,3
132,5
133,5
134,5
135,7
136,8
137,10
138,5
139,6
140,3
141,3
142,3
143,10
144,14
145,7
146,10
147,6
148,4
149,5
150,6
151,4
152,5
153,7
154,7
155,13
156,7
157,6
158,8
159,8
160,4
161,6
162,6
163,3
164,12
165,7
166,8
167,18
168,10
169,9
170,8
171,11
172,12
173,7
174,8
175,4
176,11
177,17
178,9
179,3
180,9
181,6
182,10
183,3
184,5
185,7
186,6
187,12
188,4
189,4
190,3
191,11
192,11
193,9
194,10
195,4
196,9
197,18
198,8
199,13
200,5
201,4
202,8
203,8
204,8
205,3
206,7
207,4
208,8
209,5
210,8
211,3
212,8
213,14
214,9
215,15
216,10
217,4
218,11
219,8
220,11
221,6
222,9
223,4
224,9
225,10
226,10
227,7
228,6
229,8
230,4
231,6
232,7
233,7
234,6
235,7
236,10
237,10
238,12
239,7
240,8
241,8
242,6
243,10
244,5
245,6
246,5
247,10
248,7
249,6
250,6
